COMP3003,Data Communications and Networking,1,Dr. Smith,Mon-10:00-12:00,Room 301
COMP3003,Data Communications and Networking,2,Dr. Johnson,Wed-14:00-16:00,Room 302
COMP2002,Operating Systems,1,Prof. Lee,Tue-09:00-11:00,Room 201
COMP2002,Operating Systems,2,Prof. Lee,Thu-13:00-15:00,Room 202
COMP4001,Artificial Intelligence,1,Dr. Wang,Mon-14:00-17:00,Room 401
MATH1001,Calculus I,1,Dr. Brown,Wed-09:00-11:00,Room 101
MATH1001,Calculus I,2,Dr. Brown,Fri-09:00-11:00,Room 102
PHYS2001,Physics II,1,Prof. Davis,Tue-14:00-16:00,Room 205
ENGL1001,English Composition,1,Dr. Wilson,Thu-10:00-12:00,Room 105
COMP1001,Introduction to Programming,1,Dr. Chen,Mon-09:00-11:00,Room 101
COMP1001,Introduction to Programming,2,Dr. Chen,Wed-10:00-12:00,Room 102
